Gene	Probe ID	p-value	Median_CF_patients	Median_Controls	Genomic location	Island status	*Enhancer	CpG_pvalue_rank_	abs_change	CpG_beta_value_rank_	dist_to_CF_network_sink_nodes	from_ADORA2B	from_CAPN1	from_CAPNS1	from_CAV1	from_CAV2	from_CSNK2A1	from_PRKACA	from_PRKCE	from_SLC9A3R1	from_SLC9A3R2	from_SYK	from_TRADD	min_distance_to_CFTR_interactor	from_SRC	from_PLCB1	from_PLCB3	from_EZR	min_distance_to_source_nodes_2	BC.score	C-type lectin receptor signaling pathway	Cytokine-cytokine receptor interaction	Cytosolic DNA-sensing pathway	Estrogen signaling pathway	IL-17 signaling pathway	NF-kappa B signaling pathway	NOD-like receptor signaling pathway	Osteoclast differentiation	Regulation of actin cytoskeleton	RIG-I-like receptor signaling pathway	T cell receptor signaling pathway	Th17 cell differentiation	TNF signaling pathway	Toll-like receptor signaling pathway	Viral protein interaction with cytokine and cytokine receptor	sum	pathway
AKT3	cg04221461	0.0022	0.46	0.56	Body	Open sea	FALSE	613	0.1	1158	35	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	5	3	  3	2	7	7	Inf	  2	2784.61969354175	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	6	NA
BAIAP2	cg02026049	0.0079	0.65	0.76	Body	N_Shelf	FALSE	1123	0.11	1108	2	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	6	5	  5	4	9	9	Inf	  4	661	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton
CBLB	cg18984715	0.0012	0.79	0.67	Body	Open sea	TRUE	441	0.12	762	35	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	1	Inf	Inf	Inf	Inf	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	NA
DIAPH3	cg01899581	9e-05	0.64	0.47	Body	N_Shelf	FALSE	53	0.17	184	2	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	9	8	  8	7	12	12	Inf	  7	15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton
EZR	cg13433729	1.2e-06	0.61	0.49	Body	Open sea	TRUE	2	0.12	702	15	1	1	1	Inf	Inf	Inf	6	1	Inf	Inf	6	7	  1	5	5	5	0	  0	747.394444444444	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Regulation of actin cytoskeleton
ITPR1	cg22240998	0.0011	0.6	0.5	Body	Open sea	TRUE	420	0.1	1205	35	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	2	4	  2	10	1	1	Inf	  1	602.858333333333	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	NA
MAP2K1	cg21070009	0.0041	0.48	0.35	Body	Open sea	TRUE	852	0.13	626	15	4	4	4	Inf	Inf	Inf	2	4	Inf	Inf	4	3	  2	2	5	5	3	  2	2361.45793650794	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	6	NA
NFATC1	cg11321921	0.00055	0.78	0.91	Body	Island	FALSE	240	0.13	562	1	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	3	5	  3	4	4	4	Inf	  3	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	NA
NFATC1	cg05687091	0.00061	0.54	0.64	Body	Island	FALSE	257	0.1	1196	1	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	3	5	  3	4	4	4	Inf	  3	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	NA
PLCG2	cg07671055	0.0056	0.48	0.59	Body	Open sea	FALSE	952	0.11	1082	35	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	1	3	  1	9	6	6	Inf	  1	3295.18055555555	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	NA
TNFRSF1A	cg23752651	0.00095	0.58	0.7	Body	Open sea	FALSE	374	0.12	752	35	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	1	Inf	Inf	Inf	Inf	1	419.666666666667	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	5	NA
